key,code,instantiation,providerName,customerName,goals,budget,draftMode,key:project,key:client
contract-21,DAN-017,2022/04/03 00:00,Tomás Huecas,BB,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-23,DAN-019,2022/04/03 00:00,Tomás Huecas,Filler  title of project to reach seventy five characters in attribute name,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-24,DAN-020,2022/04/03 00:00,Tomás Huecas,Filler  title of project to reach seventy four characters in attribute nam,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-25,DAN-021,2022/04/03 00:00,Tomás Huecas,貸んい建濯よ芝弾テソ,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-26,DAN-022,2022/04/03 00:00,Tomás Huecas,<script> window.location = ‘https://example.com’; </script>,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-22,DAN-018,2022/04/03 00:00,Tomás Huecas,' OR '1,Algunas de nuestras metas son...,EUR 1,false,project-01,client-01
contract-27,DAN-023,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Z,EUR 1,false,project-01,client-01
contract-28,DAN-024,2022/04/03 00:00,Tomás Huecas,BillY El Niño,ZZ,EUR 1,false,project-01,client-01
contract-29,DAN-025,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Filler abstract to reach one hundred (100) characters in the attribute called as abstractDescription,EUR 1,false,project-01,client-01
contract-30,DAN-026,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Filler abstract to reach one hundred (99) characters in the attribute called as abstractDescription,EUR 1,false,project-01,client-01
contract-32,DAN-028,2022/04/03 00:00,Tomás Huecas,BillY El Niño,貸んい建濯よ芝弾テソ,EUR 1,false,project-01,client-01
contract-33,DAN-029,2022/04/03 00:00,Tomás Huecas,BillY El Niño,<script> window.location = ‘https://example.com’; </script>,EUR 1,false,project-01,client-01
contract-31,DAN-027,2022/04/03 00:00,Tomás Huecas,BillY El Niño,' OR '1,EUR 1,false,project-01,client-01
contract-34,DAN-030,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 0.00,false,project-01,client-01
contract-35,DAN-031,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 0.01,false,project-01,client-01
contract-39,DAN-035,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,true,project-01,client-01
contract-40,DAN-036,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-02,client-01
contract-41,DAN-037,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-04,client-03
contract-42,DAN-038,2022/04/03 00:00,Tomás Huecas,BillY El Niño,Algunas de nuestras metas son...,EUR 1,false,project-03,client-02
